Company,Rating,Reviews,Industry,Location,Highly_Rated,Critically_Rated,Page
TCS,,(1.2L),IT Services & Consulting,Bengaluru +448 other locations,Job Security,"Promotions, Salary, Work Satisfaction",1
Accenture,,(75.2k),IT Services & Consulting,Bengaluru +261 other locations,"Promotions, Salary, Work Satisfaction",,1
Wipro,,(66.4k),IT Services & Consulting,Hyderabad +375 other locations,"Promotions, Salary, Work Satisfaction",,1
Cognizant,,(62.7k),IT Services & Consulting,Hyderabad +233 other locations,"Promotions, Salary, Work Satisfaction",,1
Capgemini,,(54.8k),IT Services & Consulting,Bengaluru +188 other locations,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",1
HDFC Bank,,(53.9k),Banking,Mumbai +1866 other locations,"Job Security, Skill Development","Promotions, Salary",1
Infosys,,(49.9k),IT Services & Consulting,Bengaluru +247 other locations,Job Security,"Promotions, Salary, Work Satisfaction",1
HCLTech,,(47k),IT Services & Consulting,Chennai +232 other locations,"Promotions, Salary, Work Satisfaction",,1
ICICI Bank,,(46.7k),Banking,Mumbai +1450 other locations,"Job Security, Promotions, Skill Development",,1
Tech Mahindra,,(44.2k),IT Services & Consulting,Hyderabad +323 other locations,"Promotions, Salary, Work Satisfaction",,1
Genpact,,(43.4k),Analytics & KPO,Hyderabad +181 other locations,Job Security,"Promotions, Salary, Work Satisfaction",1
TP,,(39.7k),BPO,Mumbai +259 other locations,"Work Life Balance, Job Security, Skill Development",,1
Axis Bank,,(34.1k),Banking,Mumbai +1535 other locations,"Promotions, Work Satisfaction, Company Culture",,1
Jio,,(34.1k),Telecom,Mumbai +1966 other locations,"Job Security, Skill Development, Company Culture",,1
Concentrix Corporation,,(32.9k),BPO,Bengaluru +185 other locations,Job Security,"Promotions, Salary, Work Satisfaction",1
Amazon,,(32.4k),Internet,Bengaluru +521 other locations,"Company Culture, Work Life Balance, Salary",Promotions,1
Reliance Retail,,(27.8k),Retail,Mumbai +1167 other locations,"Job Security, Skill Development, Work Life Balance",Promotions,1
iEnergizer,,(27.5k),BPO,Noida +55 other locations,"Company Culture, Work Life Balance, Work Satisfaction",,1
LTM Limited,,(27k),IT Services & Consulting,Bengaluru +146 other locations,"Promotions, Salary, Work Satisfaction",,1
HDB Financial Services,,(26.3k),NBFC,Mumbai +1099 other locations,"Promotions, Salary",,1
IBM,,(26.3k),IT Services & Consulting,Bengaluru +162 other locations,"Work Life Balance, Company Culture, Job Security",Promotions,2
Larsen & Toubro Limited,,(24.4k),Engineering & Construction,Mumbai +782 other locations,"Job Security, Skill Development, Salary","Promotions, Work Life Balance",2
Deloitte,,(24k),Management Consulting,Hyderabad +186 other locations,"Promotions, Work Life Balance, Work Satisfaction",,2
Kotak Mahindra Bank,,(23k),Banking,Mumbai +697 other locations,"Promotions, Work Satisfaction, Company Culture",,2
Reliance Industries,,(20.6k),Oil & Gas,Jamnagar +822 other locations,"Job Security, Work Life Balance, Skill Development",Promotions,2
Vodafone Idea,,(17.8k),Telecom,Pune +708 other locations,"Salary, Company Culture, Work Life Balance",Promotions,2
Bharti Airtel,,(17.4k),Telecom,Gurugram +797 other locations,Promotions,,2
BYJU'S,,(16.4k),EdTech,Bengaluru +321 other locations,"Job Security, Company Culture, Work Life Balance",,2
WNS,,(15.6k),IT Services & Consulting,Pune +69 other locations,"Promotions, Salary, Work Satisfaction",,2
IDFC FIRST Bank,,(15.3k),Banking,Mumbai +747 other locations,"Salary, Work Life Balance, Skill Development",,2
Ernst & Young,,(15k),Management Consulting,Bengaluru +135 other locations,"Promotions, Work Life Balance, Work Satisfaction",,2
IndusInd Bank,,(14.6k),Banking,Mumbai +805 other locations,"Promotions, Company Culture, Work Satisfaction",,2
AU Small Finance Bank,,(14.5k),Banking,Jaipur +811 other locations,Salary,,2
Tata Motors,,(14.4k),Automobile,Pune +510 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,2
Bajaj Finserv,,(13.6k),NBFC,Pune +1221 other locations,"Salary, Skill Development, Job Security",,2
Muthoot FinCorp,,(13.3k),NBFC,Bengaluru +1126 other locations,"Company Culture, Work Life Balance, Job Security",,2
Flipkart,,(13.3k),Internet,Bengaluru +560 other locations,"Skill Development, Salary",Promotions,2
PwC,,(13.1k),Management Consulting,Bengaluru +139 other locations,"Promotions, Work Life Balance, Work Satisfaction",,2
HDFC Life,,(12.4k),Insurance,Mumbai +724 other locations,Skill Development,Promotions,2
Mahindra & Mahindra,,(12.4k),Automobile,Pune +570 other locations,"Job Security, Skill Development, Company Culture",Promotions,2
Infosys BPM,,(12.3k),BPO,Bengaluru +95 other locations,Job Security,"Promotions, Salary, Work Satisfaction",3
DXC Technology,,(12.2k),IT Services & Consulting,Bengaluru +132 other locations,Work Life Balance,"Promotions, Salary, Work Satisfaction",3
Bandhan Bank,,(11.6k),Banking,Kolkata +1027 other locations,"Promotions, Work Satisfaction, Company Culture",,3
Digitide Solutions,,(10.6k),IT Services & Consulting,Hyderabad +276 other locations,"Promotions, Salary, Work Satisfaction",,3
Yes Bank,,(10.5k),Banking,Mumbai +545 other locations,"Job Security, Promotions, Company Culture",,3
Mphasis,,(10.5k),IT Services & Consulting,Bengaluru +64 other locations,"Promotions, Salary, Work Satisfaction",,3
Tata Steel,,(10.1k),Iron & Steel,Jamshedpur +228 other locations,"Work Life Balance, Job Security, Company Culture",Promotions,3
Quess,,(10k),Recruitment,Bengaluru +768 other locations,"Promotions, Job Security",,3
Asian Paints,,(9.9k),Chemicals,Mumbai +565 other locations,"Salary, Skill Development, Job Security",Promotions,3
UltraTech Cement,,(9.8k),Building Material,Mumbai +548 other locations,"Job Security, Skill Development, Company Culture",Promotions,3
Startek,,(9.7k),BPO,Bengaluru +104 other locations,"Promotions, Work Satisfaction, Salary",,3
Maruti Suzuki,,(9.7k),Automobile,Gurugram +463 other locations,"Job Security, Salary, Company Culture",,3
Paytm,,(9.5k),FinTech,Noida +430 other locations,"Job Security, Company Culture, Promotions",,3
Bajaj Finance,,(9.5k),NBFC,Pune +1015 other locations,"Salary, Skill Development, Job Security",,3
Shriram Finance,,(9.3k),NBFC,Chennai +1127 other locations,"Job Security, Work Life Balance",Promotions,3
Sutherland Global Services,,(9.3k),BPO,Chennai +82 other locations,"Promotions, Work Satisfaction, Skill Development",,3
Coforge,,(9.1k),IT Services & Consulting,Hyderabad +113 other locations,"Promotions, Work Satisfaction, Job Security",,3
Equitas Small Finance Bank,,(9.1k),Banking,Chennai +487 other locations,"Job Security, Company Culture, Work Life Balance",,3
Wells Fargo,,(9k),Financial Services,Bengaluru +28 other locations,Work Life Balance,"Promotions, Skill Development, Work Satisfaction",3
Cipla,,(8.8k),Pharma,Mumbai +297 other locations,"Salary, Work Life Balance, Skill Development",,3
EXL Service,,(8.8k),Analytics & KPO,Noida +62 other locations,Job Security,"Promotions, Salary, Skill Development",4
Ericsson,,(8.5k),Telecom,Noida +161 other locations,"Work Life Balance, Company Culture","Promotions, Salary",4
Samsung,,(8.5k),Consumer Electronics & Appliances,Noida +583 other locations,"Work Life Balance, Salary",Promotions,4
Dr. Reddy's,,(8.4k),Pharma,Hyderabad +217 other locations,"Company Culture, Work Life Balance, Skill Development",Promotions,4
Optum Global Solutions,,(8.2k),IT Services & Consulting,Hyderabad +69 other locations,"Job Security, Work Life Balance, Company Culture",Promotions,4
JSW Steel,,(8.1k),Iron & Steel,Ballari +201 other locations,"Job Security, Skill Development",Promotions,4
Delhivery,,(8k),Logistics,Gurugram +773 other locations,Promotions,,4
JPMorgan Chase & Co.,,(8k),Financial Services,Bengaluru +56 other locations,"Job Security, Salary",Promotions,4
ICICI Prudential Life Insurance,,(7.9k),Insurance,Mumbai +514 other locations,"Job Security, Salary, Skill Development",,4
Hexaware Technologies,,(7.9k),IT Services & Consulting,Chennai +71 other locations,"Promotions, Salary, Work Satisfaction",,4
Ujjivan Small Finance Bank,,(7.8k),Banking,Bengaluru +549 other locations,"Company Culture, Work Life Balance, Job Security",,4
Jana Small Finance Bank,,(7.8k),Banking,Bengaluru +429 other locations,Salary,Promotions,4
Sun Pharmaceutical Industries,,(7.8k),Pharma,Vadodara +266 other locations,"Salary, Skill Development, Company Culture",,4
Zydus Lifesciences,,(7.8k),Pharma,Ahmedabad +185 other locations,"Salary, Skill Development, Work Life Balance",,4
Ekart Logistics,,(7.7k),Logistics,Bengaluru +744 other locations,Skill Development,Promotions,4
HGS,,(7.6k),Emerging Technologies,Bengaluru +122 other locations,"Promotions, Salary",,4
KPMG India,,(7.5k),Management Consulting,Bengaluru +113 other locations,"Promotions, Work Life Balance, Work Satisfaction",,4
Amazon Development Centre India,,(7.5k),Internet,Hyderabad +146 other locations,"Company Culture, Work Life Balance","Promotions, Job Security, Skill Development",4
Lupin,,(7.5k),Pharma,Pune +205 other locations,"Company Culture, Skill Development, Work Life Balance",Promotions,4
Axis Max Life Insurance,,(7.4k),Insurance,New Delhi +517 other locations,"Skill Development, Company Culture, Work Life Balance",,4
L&T Construction,,(7.4k),Engineering & Construction,Chennai +436 other locations,"Job Security, Skill Development, Salary",Promotions,5
ITC,,(7.3k),FMCG,Bengaluru +383 other locations,"Job Security, Skill Development",Promotions,5
Hindustan Unilever,,(7.3k),FMCG,Mumbai +550 other locations,"Skill Development, Company Culture, Work Life Balance",Promotions,5
Megha Engineering & Infrastructures,,(7.1k),Engineering & Construction,Hyderabad +414 other locations,"Work Life Balance, Job Security",Promotions,5
Tata Projects,,(7k),Engineering & Construction,Mumbai +288 other locations,"Salary, Company Culture, Work Life Balance",,5
Cholamandalam Investment & Finance,,(6.9k),Financial Services,Chennai +873 other locations,Salary,Promotions,5
Bajaj Life Insurance,,(6.9k),Insurance,Pune +624 other locations,Salary,,5
L&T Technology Services,,(6.8k),IT Services & Consulting,Bengaluru +96 other locations,"Promotions, Salary, Work Satisfaction",,5
FIS,,(6.7k),FinTech,Pune +61 other locations,Work Life Balance,"Promotions, Job Security, Skill Development",5
Oracle,,(6.7k),Software Product,Bengaluru +56 other locations,Work Life Balance,"Promotions, Salary, Work Satisfaction",5
Omega Healthcare,,(6.6k),BPO,Chennai +71 other locations,"Promotions, Salary",,5
JLL,,(6.6k),Real Estate,Gurugram +89 other locations,"Company Culture, Work Life Balance, Job Security",Promotions,5
Muthoot Finance,,(6.5k),NBFC,Bengaluru +802 other locations,"Promotions, Work Satisfaction",,5
IIFL Finance,,(6.5k),NBFC,Mumbai +821 other locations,"Work Life Balance, Company Culture, Job Security",,5
eClerx,,(6.5k),IT Services & Consulting,Pune +33 other locations,"Promotions, Salary, Work Satisfaction",,5
Indian Army,,(6.4k),Defence & Aerospace,New Delhi +368 other locations,"Job Security, Company Culture, Work Life Balance",,5
DMart,,(6.3k),Retail,Mumbai +258 other locations,"Job Security, Company Culture",Promotions,5
Piramal Finance,,(6.3k),NBFC,Mumbai +436 other locations,"Company Culture, Work Life Balance, Skill Development",,5
PolicyBazaar,,(6.3k),Internet,Gurugram +161 other locations,Salary,Work Life Balance,5
Indiamart Intermesh,,(6.3k),Internet,Noida +169 other locations,"Work Satisfaction, Company Culture, Work Life Balance",,5
Virtusa Consulting Services,,(6.2k),IT Services & Consulting,Hyderabad +56 other locations,"Promotions, Salary, Work Satisfaction",,6
HSBC Group,,(6.2k),Financial Services,Bengaluru +63 other locations,"Work Life Balance, Job Security, Company Culture","Promotions, Salary",6
SMFG India Credit,,(6.1k),NBFC,Mumbai +613 other locations,Salary,Promotions,6
HCL Group,,(6.1k),IT Services & Consulting,Chennai +97 other locations,"Promotions, Salary, Work Satisfaction",,6
Access Healthcare,,(6.1k),BPO,Chennai +62 other locations,Promotions,,6
BigBasket,,(6k),Internet,Bengaluru +145 other locations,Job Security,Promotions,6
Manappuram Finance,,(5.9k),NBFC,Bengaluru +664 other locations,"Work Life Balance, Promotions, Skill Development",,6
ICICI Lombard General Insurance Company,,(5.9k),Insurance,Mumbai +325 other locations,"Promotions, Work Satisfaction, Company Culture",,6
Siemens,,(5.9k),Industrial Automation,Bengaluru +156 other locations,"Work Life Balance, Job Security, Company Culture",Promotions,6
Firstsource Solutions,,(5.9k),BPO,Bengaluru +73 other locations,"Promotions, Salary, Work Satisfaction",,6
Apollo Hospitals,,(5.9k),Healthcare,Chennai +227 other locations,"Job Security, Skill Development, Company Culture",Promotions,6
GlobalLogic,,(5.9k),IT Services & Consulting,Hyderabad +62 other locations,"Promotions, Salary, Work Satisfaction",,6
Aurobindo Pharma,,(5.9k),Pharma,Hyderabad +117 other locations,"Job Security, Salary, Work Life Balance",Promotions,6
Tata Capital,,(5.9k),NBFC,Mumbai +462 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,6
Shapoorji Pallonji Group,,(5.9k),Engineering & Construction,Mumbai +190 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,6
UST,,(5.8k),IT Services & Consulting,Bengaluru +52 other locations,Work Life Balance,"Promotions, Job Security, Salary",6
Swiggy,,(5.8k),Internet,Bengaluru +240 other locations,"Job Security, Promotions, Work Life Balance",,6
Standard Chartered,,(5.8k),Banking,Chennai +71 other locations,"Promotions, Work Satisfaction, Salary",,6
Mahindra Finance,,(5.8k),NBFC,Mumbai +744 other locations,Promotions,,6
Bosch Global Software Technologies,,(5.8k),IT Services & Consulting,Bengaluru +47 other locations,"Work Life Balance, Company Culture, Job Security","Promotions, Salary, Work Satisfaction",6
Udaan,,(5.7k),Internet,Bengaluru +366 other locations,Salary,"Job Security, Promotions",7
Citicorp,,(5.7k),Financial Services,Pune +68 other locations,Salary,"Promotions, Work Satisfaction, Skill Development",7
Ashok Leyland,,(5.7k),Automobile,Chennai +266 other locations,"Skill Development, Company Culture, Work Life Balance",Promotions,7
Hero MotoCorp,,(5.6k),Automobile,Gurugram +377 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,7
CGI Inc,,(5.6k),IT Services & Consulting,Bengaluru +43 other locations,"Work Life Balance, Job Security, Company Culture","Promotions, Salary",7
SBI Cards & Payment Services,,(5.4k),Financial Services,Gurugram +452 other locations,"Promotions, Work Satisfaction, Company Culture",,7
NTT DATA,,(5.4k),IT Services & Consulting,Bengaluru +81 other locations,"Work Life Balance, Job Security",Promotions,7
Kalpataru Projects International,,(5.4k),Engineering & Construction,Mumbai +330 other locations,"Job Security, Skill Development, Salary",,7
Cyient,,(5.4k),IT Services & Consulting,Hyderabad +49 other locations,"Promotions, Salary, Skill Development",,7
BNY,,(5.4k),Financial Services,Pune +28 other locations,"Promotions, Job Security, Work Satisfaction",,7
Nagarjuna Construction Company,,(5.4k),Engineering & Construction,Hyderabad +300 other locations,"Job Security, Work Life Balance, Skill Development",Promotions,7
IQVIA,,(5.4k),Clinical Research,Bengaluru +68 other locations,Work Life Balance,"Promotions, Salary, Work Satisfaction",7
Schneider Electric,,(5.3k),Industrial Automation,Bengaluru +122 other locations,"Company Culture, Work Life Balance, Job Security",Promotions,7
SBI Life Insurance Company,,(5.3k),Insurance,Mumbai +668 other locations,Job Security,"Promotions, Work Life Balance, Work Satisfaction",7
CBRE,,(5.3k),Real Estate,Hyderabad +92 other locations,"Company Culture, Work Life Balance, Job Security",,7
JustDial,,(5.3k),Internet,Noida +238 other locations,"Promotions, Work Satisfaction, Job Security",,7
TVS Motor,,(5.2k),Automobile,Hosur +356 other locations,"Job Security, Skill Development, Salary",Promotions,7
State Bank of India,,(5.2k),Banking,Mumbai +660 other locations,"Job Security, Skill Development, Salary",,7
Persistent Systems,,(5.2k),IT Services & Consulting,Pune +42 other locations,"Promotions, Job Security, Work Satisfaction",,7
KEC International,,(5.1k),Engineering & Construction,Mumbai +320 other locations,"Job Security, Salary, Company Culture",Promotions,7
